Color	Position	Sample Name	Gene Name	TM1 (°C)	TM2 (°C)	TM3 (°C)	TM4 (°C)	TM5 (°C)	Excluded	Dye	Notes	Sample Prep Notes	Number
255;234;79;79	F9	13	LincSurv	84.36	-	-	-	-	Unchecked	SYBR Green I			69
255;234;79;79	F10	14	LincSurv	84.32	-	-	-	-	Unchecked	SYBR Green I			70
255;205;18;55	F11	15	LincSurv	84.25	-	-	-	-	Unchecked	SYBR Green I			71
255;34;176;146	F12	16	LincSurv	83.99	-	-	-	-	Unchecked	SYBR Green I			72
255;95;103;174	G1	01	18S	84.26	-	-	-	-	Unchecked	SYBR Green I			73
255;234;79;79	G2	02	18S	84.30	-	-	-	-	Unchecked	SYBR Green I			74
255;234;79;79	G3	03	18S	84.33	-	-	-	-	Unchecked	SYBR Green I			75
255;234;79;79	G4	04	18S	84.13	-	-	-	-	Unchecked	SYBR Green I			76
255;234;79;79	G5	05	18S	84.19	-	-	-	-	Unchecked	SYBR Green I			77
255;234;79;79	G6	06	18S	84.19	-	-	-	-	Unchecked	SYBR Green I			78
255;234;79;79	G7	10	18S	84.32	-	-	-	-	Unchecked	SYBR Green I			79
255;234;79;79	G8	12	18S	84.24	-	-	-	-	Unchecked	SYBR Green I			80
255;234;79;79	G9	13	18S	84.18	-	-	-	-	Unchecked	SYBR Green I			81
255;234;79;79	G10	14	18S	84.36	-	-	-	-	Unchecked	SYBR Green I			82
255;103;154;47	G11	15	18S	84.29	-	-	-	-	Unchecked	SYBR Green I			83
255;180;73;149	G12	16	18S	84.25	-	-	-	-	Unchecked	SYBR Green I			84
255;95;103;174	H1	01	18S	84.26	-	-	-	-	Unchecked	SYBR Green I			85
255;95;103;174	H2	02	18S	84.27	-	-	-	-	Unchecked	SYBR Green I			86
255;95;103;174	H3	03	18S	84.30	-	-	-	-	Unchecked	SYBR Green I			87
255;95;103;174	H4	04	18S	84.30	-	-	-	-	Unchecked	SYBR Green I			88
255;47;73;113	H5	05	18S	84.12	-	-	-	-	Unchecked	SYBR Green I			89
255;47;73;113	H6	06	18S	84.13	-	-	-	-	Unchecked	SYBR Green I			90
255;47;73;113	H7	10	18S	84.27	-	-	-	-	Unchecked	SYBR Green I			91
255;132;197;238	H8	12	18S	84.19	-	-	-	-	Unchecked	SYBR Green I			92
255;132;197;238	H9	13	18S	84.14	-	-	-	-	Unchecked	SYBR Green I			93
255;132;197;238	H10	14	18S	84.12	-	-	-	-	Unchecked	SYBR Green I			94
255;103;154;47	H11	15	18S	84.30	-	-	-	-	Unchecked	SYBR Green I			95
255;180;73;149	H12	16	18S	84.21	-	-	-	-	Unchecked	SYBR Green I			96
