Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;234;79;79	D5	05	LincSurv		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	D5	0.000E+0	-	-	-	-	-	SYBR Green I	 	None	0.02	0.45			41
255;234;79;79	D6	06	LincSurv		28.30	28.44	0.19	Unchecked	Unknown	Unknown	Target	Unknown	D6	2.001E-3	4.414E-4	-	-	-	-	SYBR Green I	 	None	1.90	5.53			42
255;234;79;79	D7	10	LincSurv		29.39	29.21	0.20	Unchecked	Unknown	Unknown	Target	Unknown	D7	1.085E-4	1.064E-6	-	-	-	-	SYBR Green I	 	None	0.97	4.26			43
255;234;79;79	D8	12	LincSurv		25.44	25.50	0.41	Unchecked	Unknown	Unknown	Target	Unknown	D8	3.925E-4	1.731E-5	-	-	-	-	SYBR Green I	 	None	1.16	5.20			44
255;205;18;55	D11	15	LincSurv		27.54	27.53	0.16	Unchecked	Unknown	Unknown	Target	Unknown	D11	1.624E-5	0.000E+0	-	-	-	-	SYBR Green I	 	None	1.26	4.86			47
255;34;176;146	D12	16	LincSurv		24.77	24.77	0.00	Unchecked	Unknown	Unknown	Target	Unknown	D12	4.416E-4	1.515E-5	-	-	-	-	SYBR Green I	 	None	1.01	4.80			48
255;234;79;79	E2	02	LincSurv		33.12	32.86	0.25	Unchecked	Unknown	Unknown	Target	Unknown	D2	3.796E-5	1.861E-7	-	-	-	-	SYBR Green I	 	None	1.45	4.07			50
255;234;79;79	E3	03	LincSurv		23.95	23.98	0.03	Unchecked	Unknown	Unknown	Target	Unknown	D3	4.968E-4	4.627E-5	-	-	-	-	SYBR Green I	 	None	0.96	4.54			51
255;234;79;79	E5	05	LincSurv		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	D5	0.000E+0	-	-	-	-	-	SYBR Green I	 	None	0.02	0.40			53
255;234;79;79	E6	06	LincSurv		28.65	28.44	0.19	Unchecked	Unknown	Unknown	Target	Unknown	D6	1.570E-3	3.463E-4	-	-	-	-	SYBR Green I	 	None	1.12	4.59			54
255;234;79;79	E7	10	LincSurv		29.24	29.21	0.20	Unchecked	Unknown	Unknown	Target	Unknown	D7	1.204E-4	1.180E-6	-	-	-	-	SYBR Green I	 	None	0.99	4.46			55
255;234;79;79	E8	12	LincSurv		25.13	25.50	0.41	Unchecked	Unknown	Unknown	Target	Unknown	D8	4.866E-4	2.146E-5	-	-	-	-	SYBR Green I	 	None	1.20	5.27			56
255;205;18;55	E11	15	LincSurv		27.37	27.53	0.16	Unchecked	Unknown	Unknown	Target	Unknown	D11	1.827E-5	0.000E+0	-	-	-	-	SYBR Green I	 	None	1.33	5.01			59
255;234;79;79	F2	02	LincSurv		32.82	32.86	0.25	Unchecked	Unknown	Unknown	Target	Unknown	D2	4.674E-5	2.291E-7	-	-	-	-	SYBR Green I	 	None	1.69	4.16			62
255;234;79;79	F3	03	LincSurv		24.01	23.98	0.03	Unchecked	Unknown	Unknown	Target	Unknown	D3	4.766E-4	4.438E-5	-	-	-	-	SYBR Green I	 	None	0.84	4.35			63
255;234;79;79	F5	05	LincSurv		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	D5	0.000E+0	-	-	-	-	-	SYBR Green I	 	None	0.01	0.32			65
255;234;79;79	F6	06	LincSurv		28.37	28.44	0.19	Unchecked	Unknown	Unknown	Target	Unknown	D6	1.906E-3	4.205E-4	-	-	-	-	SYBR Green I	 	None	1.54	5.33			66
255;234;79;79	F7	10	LincSurv		29.00	29.21	0.20	Unchecked	Unknown	Unknown	Target	Unknown	D7	1.422E-4	1.394E-6	-	-	-	-	SYBR Green I	 	None	1.24	4.97			67
255;234;79;79	F8	12	LincSurv		25.94	25.50	0.41	Unchecked	Unknown	Unknown	Target	Unknown	D8	2.775E-4	1.224E-5	-	-	-	-	SYBR Green I	 	None	1.01	4.99			68
255;205;18;55	F11	15	LincSurv		27.68	27.53	0.16	Unchecked	Unknown	Unknown	Target	Unknown	D11	1.474E-5	0.000E+0	-	-	-	-	SYBR Green I	 	None	1.13	4.69			71
255;95;103;174	G1	01	18S		12.42	12.54	0.16	Unchecked	Unknown	Unknown	Reference	Unknown	G1	-	-	-	-	-	-	SYBR Green I	 	None	0.51	3.25			73
255;234;79;79	G2	02	18S		18.43	18.44	0.01	Unchecked	Unknown	Unknown	Reference	Unknown	G2	-	-	-	-	-	-	SYBR Green I	 	None	2.45	6.47			74
255;234;79;79	G3	03	18S		12.88	12.98	0.13	Unchecked	Unknown	Unknown	Reference	Unknown	G3	-	-	-	-	-	-	SYBR Green I	 	None	1.20	4.91			75
